D,d,Metal,Dd
2.24,1.71,Mn,1.3099415204678364
2.482,1.58,Fe,1.5708860759493672
2.5,1.38,Co,1.8115942028985508
2.49,1.27,Ni,1.9606299212598426
3.66,1.71,Cu2MnAl,2.1403508771929824
2.73,2.94,Mo,0.9285714285714286
2.65,2.33,Ru,1.1373390557939913
2.69,2.11,Rh,1.2748815165876777
2.75,1.93,Pd,1.4248704663212435
2.74,3.44,W,0.7965116279069768
2.68,2.72,Os,0.9852941176470588
2.714,2.47,Ir,1.0987854251012146
2.78,2.25,Pt,1.2355555555555555
